X,Y,Red,Green,Blue
1171,604,229,218,195
1172,604,229,218,195
1173,604,229,218,195
1174,604,230,219,196
1175,604,230,219,196
1176,604,229,218,195
1177,604,228,217,194
1178,604,229,217,194
1179,604,230,218,195
1180,604,230,218,196
1181,604,244,237,217
1182,604,247,242,223
1183,604,129,125,114
1184,604,55,52,47
1185,604,39,36,32
1186,604,39,36,32
1187,604,39,36,32
1188,604,64,61,55
1189,604,206,201,185
1190,604,245,240,221
1191,604,236,228,208
1192,604,232,222,202
1193,604,229,218,197
1194,604,227,215,193
1195,604,225,213,191
1196,604,234,224,202
1197,604,247,242,223
1198,604,235,230,212
1199,604,56,52,47
1200,604,39,36,32
1201,604,39,36,32
1202,604,39,36,32
1203,604,135,131,120
1204,604,240,236,217
1205,604,245,239,219
1206,604,239,231,210
1207,604,246,241,222
1208,604,202,197,182
1209,604,92,88,81
1210,604,47,44,40
1211,604,39,36,32
1212,604,40,37,33
1213,604,69,66,60
1214,604,151,146,134
1215,604,247,241,222
1216,604,237,230,210
1217,604,210,193,173
1218,604,193,169,144
1219,604,171,140,107
1220,604,167,134,100
1221,604,177,148,118
1222,604,190,172,149
1129,605,123,91,69
1130,605,115,85,65
1131,605,79,59,46
1132,605,132,109,84
1133,605,187,170,146
1134,605,201,185,161
1135,605,191,165,134
1136,605,172,142,105
1137,605,171,144,112
1138,605,229,217,195
1139,605,232,228,210
1140,605,135,131,120
1141,605,39,36,32
1142,605,39,36,32
1143,605,40,37,33
1144,605,55,52,47
1145,605,229,224,207
1146,605,247,242,223
1147,605,241,234,214
1148,605,232,223,201
1149,605,228,218,195
1150,605,228,217,194
1151,605,228,217,194
1152,605,230,220,197
1153,605,238,229,207
1154,605,242,235,214
1155,605,243,236,216
1156,605,241,234,213
1157,605,236,227,205
1158,605,231,221,199
1159,605,235,225,203
1160,605,245,239,219
1161,605,235,230,212
1162,605,167,162,149
1163,605,140,136,125
1164,605,183,179,164
1165,605,232,227,209
1166,605,244,238,218
1167,605,237,228,206
1168,605,228,218,195
1169,605,227,217,193
1170,605,228,217,194
1171,605,229,218,195
1172,605,228,217,194
1173,605,228,217,193
1174,605,229,218,195
1175,605,230,219,196
1176,605,227,216,193
1177,605,227,215,192
1178,605,228,216,193
1179,605,229,217,194
1180,605,229,217,194
1181,605,241,233,213
1182,605,247,241,222
1183,605,141,137,126
1184,605,62,59,53
1185,605,39,36,32
1186,605,39,36,32
1187,605,39,36,32
1188,605,68,65,59
1189,605,227,222,204
1190,605,246,241,223
1191,605,244,238,218
1192,605,242,236,216
1193,605,241,233,213
1194,605,236,228,207
1195,605,231,221,199
1196,605,232,222,201
1197,605,247,242,223
1198,605,239,234,216
1199,605,62,59,53
1200,605,41,38,33
1201,605,39,36,32
1202,605,39,36,32
1203,605,135,131,120
1204,605,240,235,217
1205,605,243,237,217
1206,605,233,223,202
1207,605,246,240,221
1208,605,238,233,214
1209,605,192,187,172
1210,605,122,118,108
1211,605,63,59,54
1212,605,39,36,32
1213,605,57,54,48
1214,605,129,125,115
1215,605,247,242,223
1216,605,241,235,215
1217,605,221,212,189
1218,605,213,200,175
1219,605,191,168,140
1220,605,167,134,99
1221,605,164,130,94
1222,605,177,148,119
1129,606,114,85,64
1130,606,76,58,44
1131,606,113,96,80
1132,606,190,175,153
1133,606,202,187,165
1134,606,191,165,132
1135,606,171,141,105
1136,606,159,131,97
1137,606,175,151,120
1138,606,235,226,205
1139,606,240,235,216
1140,606,142,138,126
1141,606,39,36,32
1142,606,39,36,32
1143,606,42,39,35
1144,606,67,64,58
1145,606,193,189,174
1146,606,229,224,206
1147,606,243,238,219
1148,606,242,234,214
1149,606,233,224,202
1150,606,228,217,194
1151,606,231,220,198
1152,606,237,229,207
1153,606,245,239,220
1154,606,242,237,218
1155,606,230,225,207
1156,606,242,236,217
1157,606,244,238,218
1158,606,239,231,210
1159,606,241,234,213
1160,606,239,234,215
1161,606,192,188,173
1162,606,77,73,67
1163,606,55,52,47
1164,606,90,87,79
1165,606,186,181,167
1166,606,238,233,214
1167,606,241,233,213
